QueryA;QueryB;Boomerang_res;Boomerang_time(ms);Boomerang_timeout;Sridharan_res;Sridharan_time(ms);Sridharan_timeout;Dacong_res;Dacong_time(ms);Dacong_timeout
BackwardQuery: (<dacapo.parser.SimpleCharStream: void ExpandBuff(boolean)> r0.bufsize = $i22,r0 (SimpleCharStream.ExpandBuff));BackwardQuery: (<dacapo.parser.SimpleCharStream: void ExpandBuff(boolean)> $i4 = r0.bufsize,r0 (SimpleCharStream.ExpandBuff));true;0;false;true;-1;true;true;0;false
BackwardQuery: (<org.jfree.data.xy.XYSeries: void add(org.jfree.data.xy.XYDataItem,boolean)> $r12 = r0.data,r0 (XYSeries.add));BackwardQuery: (<org.jfree.data.xy.XYSeries: void <init>(java.lang.Comparable,boolean,boolean)> r0.data = $r2,r0 (XYSeries.<init>));true;-1;true;true;245;false;true;0;false
BackwardQuery: (<dacapo.parser.ConfigFileTokenManager: int jjStopStringLiteralDfa_0(int,long)> r0.jjmatchedKind = 40,r0 (ConfigFileTokenManager.jjStopStringLiteralDfa_0));BackwardQuery: (<dacapo.parser.ConfigFileTokenManager: dacapo.parser.Token getNextToken()> r0.jjmatchedKind = 2147483647,r0 (ConfigFileTokenManager.getNextToken));true;-1;true;true;255;false;true;0;false
BackwardQuery: (<dacapo.parser.ConfigFileTokenManager: int jjMoveNfa_1(int,int)> r0.jjnewStateCnt = $i24,r0 (ConfigFileTokenManager.jjMoveNfa_1));BackwardQuery: (<dacapo.parser.ConfigFileTokenManager: int jjMoveNfa_0(int,int)> $i40 = r0.jjnewStateCnt,r0 (ConfigFileTokenManager.jjMoveNfa_0));true;977;false;true;253;false;true;0;false
BackwardQuery: (<dacapo.parser.ConfigFileTokenManager: void MoreLexicalActions()> $i2 = r0.jjimageLen,r0 (ConfigFileTokenManager.MoreLexicalActions));BackwardQuery: (<dacapo.parser.ConfigFileTokenManager: void MoreLexicalActions()> r0.jjimageLen = 0,r0 (ConfigFileTokenManager.MoreLexicalActions));true;0;false;true;275;false;true;0;false
BackwardQuery: (<dacapo.parser.SimpleCharStream: char[] GetSuffix(int)> $i3 = r0.bufpos,r0 (SimpleCharStream.GetSuffix));BackwardQuery: (<dacapo.parser.SimpleCharStream: void ExpandBuff(boolean)> r0.bufpos = $i20,r0 (SimpleCharStream.ExpandBuff));true;-1;true;true;-1;true;true;0;false
BackwardQuery: (<dacapo.parser.ConfigFileTokenManager: int jjStopStringLiteralDfa_0(int,long)> r0.jjmatchedKind = 40,r0 (ConfigFileTokenManager.jjStopStringLiteralDfa_0));BackwardQuery: (<dacapo.parser.ConfigFileTokenManager: dacapo.parser.Token getNextToken()> r0.jjmatchedKind = 2147483647,r0 (ConfigFileTokenManager.getNextToken));true;954;false;true;317;false;true;0;false
BackwardQuery: (<org.jfree.chart.axis.AxisCollection: void <init>()> r0.axesAtRight = $r4,r0 (AxisCollection.<init>));BackwardQuery: (<org.jfree.chart.axis.AxisCollection: java.util.List getAxesAtRight()> $r1 = r0.axesAtRight,r0 (AxisCollection.getAxesAtRight));true;56;false;true;245;false;true;0;false
BackwardQuery: (<dacapo.parser.ConfigFileTokenManager: int jjMoveNfa_1(int,int)> $c18 = r0.curChar,r0 (ConfigFileTokenManager.jjMoveNfa_1));BackwardQuery: (<dacapo.parser.ConfigFileTokenManager: int jjMoveStringLiteralDfa6_0(long,long)> r0.curChar = $c3,r0 (ConfigFileTokenManager.jjMoveStringLiteralDfa6_0));true;987;false;true;259;false;true;0;false
BackwardQuery: (<dacapo.parser.ConfigFileTokenManager: int jjStartNfaWithStates_0(int,int,int)> r0.curChar = $c3,r0 (ConfigFileTokenManager.jjStartNfaWithStates_0));BackwardQuery: (<dacapo.parser.ConfigFileTokenManager: int jjMoveStringLiteralDfa7_0(long,long)> $c4 = r0.curChar,r0 (ConfigFileTokenManager.jjMoveStringLiteralDfa7_0));true;963;false;true;256;false;true;0;false
BackwardQuery: (<dacapo.parser.ConfigFileTokenManager: int jjMoveStringLiteralDfa4_0(long,long)> r0.curChar = $c3,r0 (ConfigFileTokenManager.jjMoveStringLiteralDfa4_0));BackwardQuery: (<dacapo.parser.ConfigFileTokenManager: int jjMoveStringLiteralDfa3_0(long,long)> $c4 = r0.curChar,r0 (ConfigFileTokenManager.jjMoveStringLiteralDfa3_0));true;935;false;true;269;false;true;0;false
BackwardQuery: (<dacapo.parser.ConfigFileTokenManager: dacapo.parser.Token getNextToken()> $c55 = r0.curChar,r0 (ConfigFileTokenManager.getNextToken));BackwardQuery: (<dacapo.parser.ConfigFileTokenManager: int jjMoveStringLiteralDfa10_0(long,long)> r0.curChar = $c3,r0 (ConfigFileTokenManager.jjMoveStringLiteralDfa10_0));true;959;false;true;257;false;true;0;false
BackwardQuery: (<dacapo.parser.ConfigFileTokenManager: void jjAddStates(int,int)> $i1 = r0.jjnewStateCnt,r0 (ConfigFileTokenManager.jjAddStates));BackwardQuery: (<dacapo.parser.ConfigFileTokenManager: int jjMoveNfa_0(int,int)> r0.jjnewStateCnt = 19,r0 (ConfigFileTokenManager.jjMoveNfa_0));true;947;false;true;252;false;true;0;false
BackwardQuery: (<dacapo.parser.ConfigFileTokenManager: int jjMoveNfa_0(int,int)> $c85 = r0.curChar,r0 (ConfigFileTokenManager.jjMoveNfa_0));BackwardQuery: (<dacapo.parser.ConfigFileTokenManager: int jjMoveStringLiteralDfa3_0(long,long)> r0.curChar = $c3,r0 (ConfigFileTokenManager.jjMoveStringLiteralDfa3_0));true;-1;true;true;250;false;true;0;false
BackwardQuery: (<dacapo.parser.ConfigFile: void outputFile(dacapo.parser.Config,java.lang.String)> $i1 = r0.jj_gen,r0 (ConfigFile.outputFile));BackwardQuery: (<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)> r0.jj_gen = 0,r0 (ConfigFile.<init>));true;58;false;true;250;false;true;0;false
BackwardQuery: (<dacapo.parser.SimpleCharStream: void ExpandBuff(boolean)> $r6 = r0.bufline,r0 (SimpleCharStream.ExpandBuff));BackwardQuery: (<dacapo.parser.SimpleCharStream: void ExpandBuff(boolean)> r0.bufline = r2,r0 (SimpleCharStream.ExpandBuff));true;0;false;true;-1;true;true;0;false
BackwardQuery: (<dacapo.parser.ConfigFileTokenManager: int jjMoveNfa_1(int,int)> r0.curChar = $c13,r0 (ConfigFileTokenManager.jjMoveNfa_1));BackwardQuery: (<dacapo.parser.ConfigFileTokenManager: int jjMoveNfa_0(int,int)> $c4 = r0.curChar,r0 (ConfigFileTokenManager.jjMoveNfa_0));true;923;false;true;251;false;true;0;false
BackwardQuery: (<org.jfree.chart.title.LegendGraphic: void setShapeOutlineVisible(boolean)> r0.shapeOutlineVisible = z0,r0 (LegendGraphic.setShapeOutlineVisible));BackwardQuery: (<org.jfree.chart.title.LegendGraphic: void draw(java.awt.Graphics2D,java.awt.geom.Rectangle2D)> $z3 = r0.shapeOutlineVisible,r0 (LegendGraphic.draw));true;-1;true;true;-1;true;true;0;false
BackwardQuery: (<dacapo.TestHarness: void runBenchmarkOld(java.lang.String)> r0.iterations = $i2,r0 (TestHarness.runBenchmarkOld));BackwardQuery: (<dacapo.TestHarness: void runBenchmarkOld(java.lang.String)> $i1 = r0.iterations,r0 (TestHarness.runBenchmarkOld));true;0;false;true;245;false;true;0;false
BackwardQuery: (<dacapo.parser.ConfigFileTokenManager: void <init>(dacapo.parser.SimpleCharStream)> r0.curLexState = 0,r0 (ConfigFileTokenManager.<init>));BackwardQuery: (<dacapo.parser.ConfigFileTokenManager: dacapo.parser.Token getNextToken()> r0.curLexState = $i40,r0 (ConfigFileTokenManager.getNextToken));true;620;false;true;327;false;true;0;false
