QueryA;QueryB;Boomerang_res;Boomerang_time(ms);Boomerang_timeout;Sridharan_res;Sridharan_time(ms);Sridharan_timeout;Dacong_res;Dacong_time(ms);Dacong_timeout
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: void skipWhiteSpace()> r0.pos = $i5,r0 (FilterImpl$Parser.skipWhiteSpace));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: void parse_item(org.eclipse.osgi.framework.internal.core.FilterImpl)> $i21 = r0.pos,r0 (FilterImpl$Parser.parse_item));true;77;false;true;385;false;true;0;false
BackwardQuery: (<org.eclipse.osgi.internal.profile.DefaultProfileLogger: void <init>()> r0.timeEntriesIndex = varReplacer1349,r0 (DefaultProfileLogger.<init>));BackwardQuery: (<org.eclipse.osgi.internal.profile.DefaultProfileLogger: void makeLog()> r0.timeEntriesIndex = varReplacer1321,r0 (DefaultProfileLogger.makeLog));true;-1;true;true;414;false;true;0;false
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.BundleContextImpl: void close()> $r16 = r0.servicesInUse,r0 (BundleContextImpl.close));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.BundleContextImpl: void <init>(org.eclipse.osgi.framework.internal.core.BundleHost)> r0.servicesInUse = varReplacer2415,r0 (BundleContextImpl.<init>));true;-1;true;true;-1;true;true;6;false
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.BundlePermissions: void <init>(org.eclipse.osgi.framework.internal.core.PackageAdminImpl)> r0.collections = $r2,r0 (BundlePermissions.<init>));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.BundlePermissions: java.security.PermissionCollection findCollection(java.security.Permission)> $r7 = r0.collections,r0 (BundlePermissions.findCollection));true;-1;true;true;-1;true;true;5;false
BackwardQuery: (<org.eclipse.core.runtime.adaptor.EclipseLog: void <init>(java.io.File)> r0.consoleLog = varReplacer2151,r0 (EclipseLog.<init>));BackwardQuery: (<org.eclipse.core.runtime.adaptor.EclipseLog: void write(java.lang.String)> $z0 = r0.consoleLog,r0 (EclipseLog.write));true;-1;true;true;417;false;true;3;false
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: void parse_filtercomp(org.eclipse.osgi.framework.internal.core.FilterImpl)> r0.pos = $i7,r0 (FilterImpl$Parser.parse_filtercomp));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: void parse_item(org.eclipse.osgi.framework.internal.core.FilterImpl)> r0.pos = $i18,r0 (FilterImpl$Parser.parse_item));true;81;false;true;419;false;true;0;false
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.ConditionalPermissionSet: void <init>(org.eclipse.osgi.framework.internal.core.ConditionalPermissionInfoImpl[],org.osgi.service.condpermadmin.Condition[])> r0.cpis = r1,r0 (ConditionalPermissionSet.<init>));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.ConditionalPermissionSet: boolean isNonEmpty()> $r8 = r0.cpis,r0 (ConditionalPermissionSet.isNonEmpty));true;-1;true;true;-1;true;true;21;false
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.AbstractBundle: void <init>(org.eclipse.osgi.framework.adaptor.BundleData,org.eclipse.osgi.framework.internal.core.Framework)> r0.stateChanging = varReplacer2251,r0 (AbstractBundle.<init>));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.AbstractBundle: void beginStateChange()> r0.stateChanging = $r24,r0 (AbstractBundle.beginStateChange));true;-1;true;true;-1;true;true;0;false
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.BundleCombinedPermissions: boolean implies(java.security.Permission)> $r11 = r0.implied,r0 (BundleCombinedPermissions.implies));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.BundleCombinedPermissions: void <init>(org.eclipse.osgi.framework.internal.core.BundlePermissionCollection)> r0.implied = r1,r0 (BundleCombinedPermissions.<init>));true;-1;true;true;-1;true;true;1;false
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: void parse_filter(org.eclipse.osgi.framework.internal.core.FilterImpl)> $i8 = r0.pos,r0 (FilterImpl$Parser.parse_filter));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: void parse_item(org.eclipse.osgi.framework.internal.core.FilterImpl)> r0.pos = $i18,r0 (FilterImpl$Parser.parse_item));true;78;false;true;416;false;true;0;false
